# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-8.336,0,8.336,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12207,2521.3,5.7227,0.0369,NaN,1630.6,NaN,0.0057206,356080,17.946,0,0.71196,0,0.5268,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0053916
0.01,0,0,-5.3955,0,5.3955,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12207,2521.3,5.7227,0.0369,NaN,1630.6,NaN,0.0056781,353438,53.839,0,0.71283,0,0.52767,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0070111
0.02,0,0,-2.454,0,2.454,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12205,2519.4,5.7221,0.036899,NaN,1630.5,NaN,0.0056357,350797,89.731,0,0.7137,0,0.52855,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0077805
0.03,0,0,0.48853,0,0.48853,0,0,0,0,0,0,45,0,9.8062,90,0,0,0,12203,2517.5,5.7215,0.036897,NaN,1630.4,NaN,0.0055933,348156,125.62,0,0.71459,0,0.52943,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0087573
0.04,2.4479e-5,0.0048985,3.4319,0.0048985,3.4319,0,0,0,0,0,0,45,0,9.8062,89.851,0,0,0,12201,2515.7,5.7209,0.036896,NaN,1630.4,NaN,0.0055508,345516,161.52,0,0.71548,3.1298e-8,0.53033,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.0095548
0.05,2.4513e-4,0.039235,6.3762,0.039235,6.3762,0,0,0,0,0,0,45,0,9.8062,88.801,0,0,0,12199,2513.8,5.7203,0.036895,NaN,1630.3,NaN,0.0055096,342949,197.41,5.4027e-7,0.71636,1.6292e-5,0.53121,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.017894
0.06,9.5637e-4,0.10302,9.3214,0.10302,9.3214,0,0,0,0,0,0,45,0,9.8062,86.836,0,0,0,12197,2511.9,5.7197,0.036893,NaN,1630.3,NaN,0.005484,341355,233.3,9.6448e-6,0.71691,2.9356e-4,0.53176,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.019235
0.07,0.0024527,0.19626,12.268,0.19626,12.268,0,0,0,0,0,0,45,0,9.8062,83.953,0,0,0,12195,2510,5.7191,0.036892,NaN,1630.2,NaN,0.0054733,340691,269.19,6.5053e-5,0.71714,0.0019877,0.53199,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.02029
0.08,0.0050288,0.31896,15.215,0.31896,15.215,0,0,0,0,0,0,45,0,9.8062,80.174,0,0,0,12193,2508.1,5.7185,0.036891,NaN,1630.1,NaN,0.0054907,341770,305.09,2.6916e-4,0.71677,0.0081726,0.53161,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.021368
0.09,0.0089792,0.47114,18.162,0.47114,18.162,0,0,0,0,0,0,45,0,9.8062,75.566,0,0,0,12191,2506.3,5.7179,0.036889,NaN,1630.1,NaN,0.0055526,345626,340.98,8.2508e-4,0.71544,0.024496,0.53029,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.022553
0.1,0.014599,0.6528,21.111,0.6528,21.111,0,0,0,0,0,0,45,0,9.8062,70.261,0,0,0,12190,2504.4,5.7172,0.036888,NaN,1630,NaN,0.0056782,353446,376.87,0.0020579,0.71282,0.058424,0.52767,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.023231
0.11,0.022183,0.86395,24.061,0.86395,24.061,0,0,0,0,0,0,45,0,9.8062,64.836,0,0,0,12188,2502.5,5.7166,0.036887,NaN,1629.9,NaN,0.005969,371542,412.76,0.0043464,0.70704,0.11167,0.52189,0.065148,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.030376
0.12,0.032025,1.1046,27.011,1.1046,27.011,0,0,0,0,0,0,45,0,9.8062,59.277,0,0,0,12186,2500.6,5.716,0.036885,NaN,1629.9,NaN,0.0063519,395375,448.66,0.0081846,0.69998,0.18569,0.51483,0.065149,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.031012
0.13,0.044422,1.3748,29.962,1.3748,29.962,0,0,0,0,0,0,45,0,9.8062,53.8,0,0,0,12184,2498.8,5.7154,0.036884,NaN,1629.8,NaN,0.0068383,425654,484.55,0.014075,0.69178,0.27552,0.50662,0.065149,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.031709
0.14,0.059668,1.6744,32.914,1.6744,32.914,0,0,0,0,0,0,45,0,9.8062,48.582,0,0,0,12182,2496.9,5.7148,0.036883,NaN,1629.8,NaN,0.0074358,462844,520.44,0.022499,0.68271,0.37248,0.49755,0.06515,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,15,1013.2,340.39,0.01,0.038757
0.15,0.078058,2.0036,35.866,2.0036,35.866,0,0,0,0,0,0,45,0,9.8062,43.746,0,0,0,12180,2495,5.7142,0.036881,NaN,1629.7,NaN,0.008148,507175,556.33,0.033887,0.67308,0.46724,0.48792,0.065151,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.999,1013.2,340.39,0.01,0.039407
0.16,0.099887,2.3623,38.819,2.3623,38.819,0,0,0,0,0,0,45,0,9.8062,39.229,0,0,0,12178,2493.1,5.7136,0.03688,NaN,1629.6,NaN,0.0089593,557675,592.23,0.048681,0.66338,0.55515,0.47821,0.065152,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.999,1013.2,340.39,0.01,0.041747
0.17,0.12545,2.7506,41.773,2.7506,41.773,0,0,0,0,0,0,45,0,9.8062,35.19,0,0,0,12176,2491.2,5.713,0.036879,NaN,1629.6,NaN,0.0098877,615461,628.12,0.067125,0.6536,0.62848,0.46844,0.065153,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.999,1013.2,340.39,0.01,0.042295
0.18,0.15505,3.1684,44.727,3.1684,44.727,0,0,0,0,0,0,45,0,9.8062,31.618,0,0,0,12175,2489.4,5.7124,0.036877,NaN,1629.5,NaN,0.010931,680370,664.01,0.089471,0.64397,0.68549,0.4588,0.065155,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.999,1013.2,340.39,0.01,0.042777
0.19,0.18897,3.6157,46.47,3.6157,46.47,0,0,0,0,0,0,45,0,9.8062,28.479,0,0,0,12173,2487.5,5.7118,0.036876,NaN,1629.5,NaN,0.012085,752203,685.15,0.11594,0.63462,0.72676,0.44945,0.065157,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.999,1013.2,340.39,0.01,0.043654
0.2,0.22745,4.0805,46.452,4.0805,46.452,0,0,0,0,0,0,45,0,9.8062,25.798,0,0,0,12170,2484.8,5.7109,0.036874,NaN,1629.4,NaN,0.013315,828769,684.8,0.14595,0.62586,0.7536,0.44068,0.065159,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.999,1013.2,340.39,0.01,0.045624
0.21,0.27058,4.5451,46.422,4.5451,46.422,0,0,0,0,0,0,45,0,9.8062,23.395,0,0,0,12166,2481.2,5.7098,0.036872,NaN,1629.2,NaN,0.014549,905584,684.27,0.17821,0.61808,0.77068,0.43289,0.065162,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.998,1013.2,340.39,0.01,0.046113
0.22,0.31835,5.0095,46.392,5.0095,46.392,0,0,0,0,0,0,45,0,9.8062,21.372,0,0,0,12163,2477.5,5.7086,0.036869,NaN,1629.1,NaN,0.015804,983689,683.74,0.21242,0.611,0.77854,0.4258,0.065165,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.998,1013.2,340.39,0.01,0.047196
0.23,0.37076,5.4735,46.363,5.4735,46.363,0,0,0,0,0,0,45,0,9.8062,19.65,0,0,0,12159,2473.8,5.7074,0.036867,NaN,1629,NaN,0.017075,1062788,683.21,0.24841,0.60454,0.77998,0.41933,0.065168,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.998,1013.2,340.39,0.01,0.047732
0.24,0.42782,5.9373,46.333,5.9373,46.333,0,0,0,0,0,0,45,0,9.8062,18.168,0,0,0,12155,2470.1,5.7062,0.036864,NaN,1628.9,NaN,0.018358,1142662,682.68,0.28607,0.59862,0.77703,0.4134,0.065172,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.997,1013.2,340.39,0.01,0.048241
0.25,0.48951,6.4007,46.303,6.4007,46.303,0,0,0,0,0,0,45,0,9.8062,16.881,0,0,0,12152,2466.4,5.705,0.036861,NaN,1628.8,NaN,0.019651,1223146,682.14,0.32528,0.59317,0.77109,0.40794,0.065175,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.997,1013.2,340.39,0.01,0.048743
0.26,0.55583,6.8639,46.273,6.8639,46.273,0,0,0,0,0,0,45,0,9.8062,16.02,0,0,0,12148,2462.7,5.7038,0.036859,NaN,1628.6,NaN,0.02098,1305836,681.61,0.36674,0.58804,0.76276,0.4028,0.06518,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.996,1013.2,340.39,0.01,0.04926
0.27,0.62678,7.3268,46.243,7.3268,46.243,0,0,0,0,0,0,45,0,9.8062,15.262,0,0,0,12144,2459,5.7026,0.036856,NaN,1628.5,NaN,0.022312,1388731,681.08,0.40957,0.5833,0.75317,0.39805,0.065184,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.996,1013.2,340.39,0.01,0.049776
0.28,0.70236,7.7893,46.212,7.7893,46.212,0,0,0,0,0,0,45,0,9.8062,14.59,0,0,0,12140,2455.3,5.7014,0.036853,NaN,1628.4,NaN,0.023646,1471786,680.55,0.45387,0.5789,0.74309,0.39364,0.065189,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.995,1013.2,340.39,0.01,0.05029
0.29,0.78257,8.2516,46.182,8.2516,46.182,0,0,0,0,0,0,45,0,9.8062,13.99,0,0,0,12137,2451.6,5.7002,0.036851,NaN,1628.3,NaN,0.024983,1554967,680.01,0.49971,0.57481,0.73295,0.38954,0.065194,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.995,1013.2,340.39,0.01,0.050772
0.3,0.86739,8.7135,46.151,8.7135,46.151,0,0,0,0,0,0,45,0,9.8062,13.452,0,0,0,12133,2447.9,5.699,0.036848,NaN,1628.1,NaN,0.026321,1638246,679.48,0.54716,0.57099,0.72301,0.3857,0.065199,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.994,1013.1,340.39,0.01,0.051194
0.31,0.95684,9.1751,46.121,9.1751,46.121,0,0,0,0,0,0,45,0,9.8062,12.724,0,0,0,12129,2444.2,5.6978,0.036846,NaN,1628,NaN,0.027634,1719940,678.95,0.59292,0.56748,0.71082,0.38217,0.065205,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.994,1013.1,340.39,0.01,0.051621
0.32,1.0509,9.6365,46.09,9.6365,46.09,0,0,0,0,0,0,45,0,9.8062,12.062,0,0,0,12126,2440.5,5.6966,0.036843,NaN,1627.9,NaN,0.02895,1801830,678.42,0.63979,0.56417,0.69887,0.37885,0.06521,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.993,1013.1,340.38,0.01,0.052056
0.33,1.1496,10.097,46.059,10.097,46.059,0,0,0,0,0,0,45,0,9.8062,11.459,0,0,0,12122,2436.8,5.6954,0.03684,NaN,1627.8,NaN,0.030268,1883882,677.89,0.68786,0.56104,0.68736,0.3757,0.065216,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.993,1013.1,340.38,0.01,0.052493
0.34,1.2528,10.558,46.028,10.558,46.028,0,0,0,0,0,0,45,0,9.8062,10.906,0,0,0,12118,2433.1,5.6942,0.036838,NaN,1627.6,NaN,0.031589,1966069,677.35,0.73723,0.55807,0.67638,0.37272,0.065223,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.992,1013.1,340.38,0.01,0.052928
0.35,1.3607,11.019,45.997,11.019,45.997,0,0,0,0,0,0,45,0,9.8062,10.398,0,0,0,12115,2429.4,5.693,0.036835,NaN,1627.5,NaN,0.032912,2048366,676.82,0.78795,0.55526,0.66599,0.36989,0.065229,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.991,1013.1,340.38,0.01,0.053384
0.36,1.4732,11.479,45.966,11.479,45.966,0,0,0,0,0,0,45,0,9.8062,9.8876,0,0,0,12111,2425.6,5.6918,0.036833,NaN,1627.4,NaN,0.034231,2130482,676.29,0.83911,0.5526,0.65561,0.36721,0.065236,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.99,1013.1,340.38,0.01,0.053813
0.37,1.5903,11.938,45.935,11.938,45.935,0,0,0,0,0,0,45,0,9.8062,9.4154,0,0,0,12107,2421.9,5.6906,0.03683,NaN,1627.3,NaN,0.035553,2212696,675.76,0.89166,0.55006,0.64585,0.36466,0.065243,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.99,1013.1,340.38,0.01,0.054248
0.38,1.712,12.398,45.903,12.398,45.903,0,0,0,0,0,0,45,0,9.8062,8.9773,0,0,0,12103,2418.2,5.6894,0.036827,NaN,1627.2,NaN,0.036875,2294991,675.23,0.94912,0.54966,0.63905,0.36423,0.065251,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.989,1013,340.38,0.01,0.054678
0.39,1.8383,12.857,45.871,12.857,45.871,0,0,0,0,0,0,45,0,9.8062,8.5698,0,0,0,12100,2414.5,5.6882,0.036825,NaN,1627,NaN,0.038199,2377350,674.69,1.0091,0.54968,0.63314,0.36423,0.065258,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.988,1013,340.38,0.01,0.055075
0.4,1.9691,13.316,45.839,13.316,45.839,0,0,0,0,0,0,45,0,9.8062,8.1897,0,0,0,12096,2410.8,5.687,0.036822,NaN,1626.9,NaN,0.039524,2459762,674.16,1.0708,0.54969,0.62764,0.36422,0.065266,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.987,1013,340.38,0.01,0.055495
0.41,2.1046,13.774,45.807,13.774,45.807,0,0,0,0,0,0,45,0,9.8062,8.0163,0,0,0,12092,2407.1,5.6858,0.03682,NaN,1626.8,NaN,0.040867,2543337,673.63,1.1403,0.54971,0.62514,0.36422,0.065275,0.12022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.986,1013,340.38,0.01,0.055915
0.42,2.2446,14.233,45.774,14.233,45.774,0,0,0,0,0,0,45,0,9.8062,7.8541,0,0,0,12089,2403.4,5.6846,0.036817,NaN,1626.7,NaN,0.04221,2626871,673.1,1.2119,0.54973,0.62281,0.36422,0.065283,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.985,1013,340.38,0.01,0.056355
0.43,2.3892,14.69,45.741,14.69,45.741,0,0,0,0,0,0,45,0,9.8062,7.7021,0,0,0,12085,2399.7,5.6834,0.036814,NaN,1626.5,NaN,0.043552,2710363,672.57,1.2857,0.54975,0.62064,0.36421,0.065292,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140,153.94,90,0,NaN,14.984,1013,340.38,0.01,0.056782
0.44,2.5384,15.148,45.707,15.148,45.71,0,0,0,0,0,0.50169,45,0,9.8062,7.5593,0,0,0,12081,2396,5.6822,0.036812,1760.9,1626.4,0.96071,0.044893,2793810,672.04,1.3616,0.54977,0.6186,0.36421,0.065302,0.12026,2.7537,2.6459,4.813e-4,0,0.42216,0.42216,0,0,140,153.94,90,0,NaN,14.984,1013,340.38,0.0098776,0.057667
0.44988,2.6903,15.6,45.675,15.6,45.678,-2.4764e-5,0,2.4764e-5,180,0.0050429,0.51917,45,0,9.8062,7.4079,2.0596,0.083022,-1.2471e-5,12078,2392.4,5.681,0.036809,1761.9,1626.3,0.96877,0.046216,2876070,671.53,1.438,0.54979,0.61646,0.3642,0.065311,0.12028,2.6901,2.6065,5.3321e-5,0,0.42216,0.42216,0,4.0374e-5,140,153.94,90,0.0065931,NaN,14.983,1012.9,340.38,0.0093198,0.058191
0.4592,2.8376,16.025,45.645,16.025,45.648,-9.448e-5,0,9.448e-5,180,0.0099355,0.53048,45,0,9.8062,7.2196,4.1139,0.16442,-7.2064e-5,12074,2388.8,5.6799,0.036807,1763.2,1626.2,0.97862,0.047458,2953301,671.04,1.5097,0.54981,0.61379,0.3642,0.06532,0.12029,2.6115,2.5559,-3.9982e-4,0,0.42217,0.42217,0,1.5017e-4,140,153.94,89.998,0.014009,NaN,14.982,1012.9,340.38,0.008838,0.058727
0.46804,2.9811,16.429,45.617,16.429,45.62,-2.0314e-4,0,2.0314e-4,180,0.014669,0.54039,45,0,9.8062,7.0483,6.102,0.24411,-2.3053e-4,12071,2385.4,5.6788,0.036804,1764.3,1626.1,0.98769,0.048635,3026509,670.54,1.5793,0.54983,0.61138,0.3642,0.065329,0.12031,2.5404,2.5088,3.3388e-5,0,0.34817,0.42217,0.073999,3.152e-4,140,153.94,89.997,0.027508,NaN,14.981,1012.9,340.38,0.010203,0.059279
0.47824,3.1511,16.894,45.578,16.894,45.582,-3.8113e-4,0,3.8113e-4,180,0.020237,0.55085,45,0,9.8062,6.8594,8.0938,0.33917,-6.0309e-4,12067,2381.9,5.6776,0.036802,1765.6,1625.9,0.99773,0.049993,3110996,669.99,1.6615,0.54985,0.60875,0.36419,0.065339,0.12032,2.4625,2.4563,1.5429e-4,0,0.32668,0.42217,0.095493,5.7586e-4,140,153.94,89.994,0.051566,NaN,14.98,1012.9,340.38,0.010291,0.06013
0.48853,3.3273,17.364,45.543,17.364,45.547,-6.1874e-4,0,6.1874e-4,180,0.025956,0.56032,45,-7.8796e-9,9.8062,6.6776,10.084,0.43833,-0.0012453,12063,2378.1,5.6764,0.036799,1766.9,1625.8,1.0076,0.051362,3196168,669.44,1.7465,0.54988,0.60624,0.36419,0.06535,0.12034,2.3881,2.4048,1.8633e-4,0,0.30637,0.42218,0.11581,9.1118e-4,140,153.94,89.99,0.083075,NaN,14.978,1012.9,340.38,0.010396,0.060798
0.49893,3.5103,17.837,45.508,17.837,45.511,-9.1901e-4,0,9.1901e-4,180,0.031827,0.56873,45,-1.1703e-8,9.8062,6.5021,12.073,0.54182,-0.0022358,12060,2374.3,5.6751,0.036797,1768.1,1625.7,1.0172,0.052745,3282162,668.89,1.8345,0.5499,0.60384,0.36418,0.065361,0.12036,2.3167,2.3552,1.137e-4,0,0.28716,0.42219,0.13503,0.0013202,140,153.94,89.985,0.12173,NaN,14.977,1012.8,340.38,0.010516,0.061518
0.50944,3.7004,18.316,45.471,18.316,45.475,-0.0012853,1.0609e-8,0.0012853,180,0.037835,0.57347,45,-1.6368e-8,9.8062,6.3091,14.06,0.64977,-0.0036701,12056,2370.4,5.6739,0.036794,1769.4,1625.5,1.0278,0.054141,3368960,668.32,1.9245,0.54993,0.60123,0.36417,0.065372,0.12038,2.2387,2.2988,3.4601e-4,0,0.26898,0.42219,0.15321,0.0018021,140,153.94,89.978,0.16746,NaN,14.976,1012.8,340.37,0.010655,0.062278
0.5201,3.8981,18.8,45.434,18.8,45.438,-0.001721,2.5105e-8,0.001721,180,0.043964,0.57657,45,-2.1917e-8,9.8062,6.1193,16.046,0.76219,-0.0056556,12052,2366.5,5.6726,0.036791,1770.8,1625.4,1.0384,0.055554,3456846,667.75,2.0177,0.54995,0.5987,0.36417,0.065385,0.1204,2.1626,2.2434,4.7847e-4,0,0.25179,0.4222,0.17041,0.002355,140,153.94,89.971,0.22073,NaN,14.975,1012.8,340.37,0.010811,0.062733
0.53091,4.104,19.292,45.396,19.292,45.4,-0.00223,5.3919e-8,0.00223,180,0.050208,0.57821,45,-2.8399e-8,9.8062,5.9349,18.03,0.87932,-0.0083204,12048,2362.5,5.6713,0.036788,1772.1,1625.3,1.0488,0.056988,3545971,667.17,2.1145,0.54998,0.59627,0.36416,0.065397,0.12042,2.0891,2.1886,1.6713e-4,0,0.23552,0.4222,0.18669,0.0029788,140,153.94,89.962,0.28185,NaN,14.973,1012.8,340.37,0.010983,0.065084
0.54189,4.3187,19.79,45.358,19.791,45.361,-0.0028163,1.074e-7,0.0028163,180,0.056561,0.57827,45,-3.5866e-8,9.8062,5.7551,20.013,1.0014,-0.011778,12044,2358.5,5.67,0.036785,1773.4,1625.1,1.0592,0.058443,3636467,666.58,2.2151,0.55001,0.59394,0.36416,0.06541,0.12044,2.0179,2.1339,3.887e-4,0,0.22013,0.42221,0.20208,0.0036735,140,153.94,89.952,0.35114,NaN,14.972,1012.7,340.37,0.011172,0.065979
0.55306,4.5426,20.297,45.318,20.297,45.322,-0.0034843,2.0147e-7,0.0034843,180,0.063015,0.5773,45,-4.4372e-8,9.8062,5.5847,21.996,1.1288,-0.016173,12040,2354.4,5.6687,0.036783,1774.7,1625,1.0692,0.059923,3728504,665.98,2.3202,0.55004,0.59177,0.36415,0.065424,0.12047,1.9509,2.0814,-3.9554e-4,0,0.20559,0.42222,0.21663,0.0044396,140,153.94,89.94,0.42882,NaN,14.97,1012.7,340.37,0.011378,0.066396
0.56444,4.7765,20.813,45.277,20.813,45.281,-0.0042386,3.5991e-7,0.0042386,180,0.06958,0.57639,45,-5.3978e-8,9.8062,5.4318,23.976,1.2619,-0.021677,12035,2350.2,5.6673,0.03678,1775.9,1624.9,1.0785,0.061432,3822267,665.37,2.4304,0.55007,0.58985,0.36414,0.065438,0.12049,1.8911,2.034,-4.021e-4,0,0.19186,0.42222,0.23036,0.0052797,140,153.94,89.926,0.51513,NaN,14.969,1012.7,340.37,0.0116,0.066837
0.57604,5.0209,21.338,45.22,21.338,45.224,-0.0050844,6.1746e-7,0.0050844,179.99,0.076252,0.5736,45,-6.475e-8,9.8062,5.2813,25.956,1.4013,-0.028485,12031,2346,5.6659,0.036777,1777,1624.7,1.0878,0.062968,3917791,664.55,2.5454,0.55011,0.58799,0.36414,0.065453,0.12052,1.8326,1.9875,5.4212e-6,0,0.17891,0.42223,0.24332,0.0061964,140,153.94,89.911,0.6106,NaN,14.967,1012.7,340.37,0.011839,0.067323
0.58788,5.2767,21.874,45.152,21.874,45.156,-0.0060273,1.0239e-6,0.0060273,179.99,0.083016,0.56872,45,-7.6757e-8,9.8062,5.133,27.935,1.5473,-0.036795,12027,2341.7,5.6645,0.036774,1778.2,1624.6,1.0971,0.064535,4015180,663.63,2.6654,0.55014,0.58619,0.36413,0.065468,0.12054,1.7752,1.9407,-1.9018e-4,0,0.1667,0.42224,0.25554,0.0071921,140,153.94,89.893,0.71561,NaN,14.966,1012.6,340.37,0.012096,0.067795
0.59998,5.5446,22.42,45.083,22.42,45.086,-0.0070729,1.6496e-6,0.0070729,179.99,0.089854,0.56154,45,-9.0073e-8,9.8062,4.9864,29.913,1.7001,-0.046858,12023,2337.5,5.6632,0.036771,1779.4,1624.4,1.1066,0.066134,4114551,662.68,2.7907,0.55018,0.58445,0.36412,0.065484,0.12057,1.7188,1.8938,3.16e-4,0,0.1552,0.42225,0.26705,0.0082686,140,153.94,89.874,0.83054,NaN,14.964,1012.6,340.37,0.012371,0.068241
0.61235,5.8254,22.978,45.012,22.978,45.015,-0.008227,2.5925e-6,0.008227,179.98,0.096685,0.5424,45,-1.0477e-7,9.8062,4.7826,31.889,1.8594,-0.058984,12018,2333.1,5.6617,0.036768,1781,1624.3,1.1194,0.067761,4215665,661.71,2.9176,0.55021,0.58205,0.36411,0.065501,0.1206,1.641,1.828,3.7847e-4,0,0.14437,0.42226,0.27789,0.0094211,140,153.94,89.852,0.95599,NaN,14.962,1012.6,340.37,0.012668,0.068708
0.62501,6.1201,23.548,44.938,23.549,44.941,-0.0094948,3.9886e-6,0.0094948,179.98,0.10342,0.51995,45,-1.2092e-7,9.8062,4.5813,33.865,2.0244,-0.073464,12014,2328.7,5.6603,0.036764,1782.7,1624.1,1.1325,0.069425,4319079,660.71,3.0504,0.55025,0.57976,0.36411,0.065519,0.12063,1.5647,1.7617,-9.9883e-5,0,0.1342,0.42227,0.28806,0.010639,140,153.94,89.827,1.0926,NaN,14.96,1012.5,340.36,0.012982,0.069131
0.638,6.4296,24.132,44.863,24.132,44.866,-0.01088,6.0233e-6,0.01088,179.97,0.11,0.49392,45,-1.3856e-7,9.8062,4.3824,35.84,2.1952,-0.09065,12009,2324.1,5.6588,0.036761,1784.4,1624,1.1458,0.071128,4424919,659.69,3.1897,0.55029,0.57755,0.3641,0.065538,0.12066,1.4898,1.695,-1.282e-4,0,0.12467,0.42227,0.2976,0.011918,140,153.94,89.8,1.2411,NaN,14.958,1012.5,340.36,0.013312,0.069563
